zip,n_registrations,pct_destroyed,pct_sba_approved,pct_flood_damage,pct_foundation_damage,pct_roof_damage,pct_flood_insured,mean_water_depth_m,median_water_depth_m,mean_flood_damage_amt,mean_ihp_amount,total_ihp_amount
77301,60,0.0,0.016666666666666666,0.08333333333333333,0.016666666666666666,0.03333333333333333,0.11666666666666667,0.02497666666666666,0.0,711.8241666666667,374.1065,22446.39
77302,184,0.005434782608695652,0.06521739130434782,0.6413043478260869,0.03260869565217391,0.021739130434782608,0.5217391304347826,0.8063119565217391,0.49529999999999996,18917.31027173913,3335.898804347826,613805.38
77303,47,0.0,0.0425531914893617,0.1276595744680851,0.0851063829787234,0.10638297872340426,0.06382978723404255,0.01945531914893617,0.0,1128.8063829787234,216.48893617021275,10174.98
77304,99,0.010101010101010102,0.030303030303030304,0.20202020202020202,0.020202020202020204,0.030303030303030304,0.23232323232323232,0.2427111111111111,0.0,5732.542626262626,1279.2568686868685,126646.43
77306,51,0.0,0.058823529411764705,0.3137254901960784,0.058823529411764705,0.0392156862745098,0.19607843137254902,0.18128627450980392,0.0,2824.477254901961,1514.909411764706,77260.38
77316,68,0.0,0.08823529411764706,0.29411764705882354,0.08823529411764706,0.1323529411764706,0.10294117647058823,0.11952941176470588,0.0,3375.883970588235,2692.827058823529,183112.24
77318,60,0.0,0.05,0.3333333333333333,0.05,0.05,0.21666666666666667,0.07831666666666666,0.0,3517.1175,1912.7848333333334,114767.09
77320,59,0.0,0.01694915254237288,0.2033898305084746,0.11864406779661017,0.1694915254237288,0.1016949152542373,0.04993898305084745,0.0,875.5954237288137,722.446779661017,42624.36
77327,246,0.0,0.036585365853658534,0.4024390243902439,0.07317073170731707,0.07723577235772358,0.25609756097560976,0.21703577235772356,0.0,5382.544024390244,2434.910569105691,598988.0
77328,103,0.0,0.0,0.21359223300970873,0.06796116504854369,0.07766990291262135,0.0970873786407767,0.16571650485436892,0.0,3103.5751456310677,1633.6633980582526,168267.33000000002
77331,53,0.0,0.03773584905660377,0.39622641509433965,0.07547169811320754,0.20754716981132076,0.22641509433962265,0.337388679245283,0.0,5369.795471698113,1683.203962264151,89209.81
77335,26,0.0,0.15384615384615385,0.46153846153846156,0.11538461538461539,0.11538461538461539,0.15384615384615385,0.23836923076923075,0.0254,4900.661153846154,3590.037692307692,93340.98
77336,186,0.0,0.12365591397849462,0.532258064516129,0.03763440860215054,0.03763440860215054,0.34946236559139787,0.42770322580645154,0.0508,11630.245806451614,5032.337741935484,936014.8200000001
77338,614,0.003257328990228013,0.07003257328990228,0.3550488599348534,0.004885993485342019,0.03420195439739414,0.20521172638436483,0.34567166123778503,0.0,9668.23335504886,5521.977491856678,3390494.18
77339,482,0.002074688796680498,0.10995850622406639,0.5601659751037344,0.004149377593360996,0.024896265560165973,0.483402489626556,0.5981120331950207,0.5841999999999999,20780.393526970955,6857.273091286307,3305205.63
77340,57,0.0,0.07017543859649122,0.17543859649122806,0.03508771929824561,0.10526315789473684,0.08771929824561403,0.06996140350877193,0.0,491.8450877192983,473.5794736842106,26994.030000000002
77345,477,0.0,0.20125786163522014,0.6771488469601677,0.0020964360587002098,0.03563941299790356,0.39832285115303984,0.5122067085953879,0.4064,18831.71853249476,9816.745199161425,4682587.46
77346,661,0.0,0.07413010590015129,0.22844175491679275,0.0015128593040847202,0.0453857791225416,0.2314674735249622,0.14844205748865355,0.0,5949.308154311649,2250.8262632375186,1487796.16
77351,99,0.0,0.020202020202020204,0.16161616161616163,0.09090909090909091,0.15151515151515152,0.08080808080808081,0.03617575757575757,0.0,422.6679797979798,400.8648484848485,39685.62
77354,110,0.0,0.03636363636363636,0.32727272727272727,0.01818181818181818,0.10909090909090909,0.3181818181818182,0.1420090909090909,0.0,5598.3291818181815,1270.9799999999998,139807.8
77355,78,0.0,0.01282051282051282,0.2948717948717949,0.02564102564102564,0.05128205128205128,0.28205128205128205,0.10290256410256408,0.0,3425.8608974358976,923.2607692307694,72014.34000000001
77356,126,0.0,0.05555555555555555,0.2222222222222222,0.015873015873015872,0.031746031746031744,0.25396825396825395,0.04213174603174603,0.0,2271.318412698413,1541.6060317460317,194242.36
77357,212,0.0,0.07547169811320754,0.49528301886792453,0.08490566037735849,0.06132075471698113,0.33490566037735847,0.46402924528301887,0.0254,10779.023962264151,4214.741745283019,893525.25
77362,34,0.0,0.0,0.4411764705882353,0.0,0.0,0.38235294117647056,0.3951941176470588,0.0,9629.497647058823,2922.354117647059,99360.04000000001
77365,214,0.014018691588785047,0.056074766355140186,0.2803738317757009,0.018691588785046728,0.04672897196261682,0.24299065420560748,0.2303803738317757,0.0,6953.384859813084,2074.2193457943927,443882.94
77371,73,0.0,0.0410958904109589,0.2602739726027397,0.0684931506849315,0.1643835616438356,0.0821917808219178,0.13013150684931507,0.0,2949.664657534247,1720.6906849315071,125610.42000000001
77372,120,0.008333333333333333,0.041666666666666664,0.4583333333333333,0.06666666666666667,0.06666666666666667,0.2916666666666667,0.39497,0.0254,9378.742666666667,3571.063333333333,428527.6
77373,846,0.0,0.06973995271867613,0.3073286052009456,0.0035460992907801418,0.037825059101654845,0.22458628841607564,0.21794160756501182,0.0,6675.424432624114,4245.091276595745,3591347.22
